artist_credit,name,artist_count,ref_count,created
id-259995,Ombrophile,1,12,2011-05-16 163211.963929+00
id-60751,Pornographic Monkey,1,26,2011-05-16 163211.963929+00
id-193339,Blaggers World,1,24,2011-05-16 163211.963929+00
id-305375,Tricky Tee,1,40,2011-05-16 163211.963929+00
id-251630,Elysium,1,16,2011-05-16 163211.963929+00
id-823489,monoChrist,1,20,2011-05-21 214514.73909+00
id-526940,Karin Ohlsson  Hanna Tibell,1,44,2011-05-16 163211.963929+00
id-731798,Bowsers Rvenge,1,10,2011-05-16 163211.963929+00
id-251639,0118-vier,1,48,2011-05-16 163211.963929+00
id-823487,DJ Fritzy,1,4,2011-05-21 212929.124541+00
id-743505,Crazy Minds,1,28,2011-05-16 163211.963929+00
id-568033,The Lamp of Thoth,1,89,2011-05-16 163211.963929+00
rec-799237-dup-0,Noka Grey,1,16,2011-05-16 163211.963929+00
id-329615,Light Year,1,80,2011-05-16 163211.963929+00
id-628094,The Johannesburg Street Band,1,28,2011-05-16 163211.963929+00
id-389839,Duncan,1,20,2011-05-16 163211.963929+00
id-464046,Major Malfunction,1,24,2011-05-16 163211.963929+00
id-514319,Phillip Werren,1,22,2011-05-16 163211.963929+00
id-460745,Rocha,1,50,2011-05-16 163211.963929+00
rec-697927-dup-0,Sunyq,1,10,2011-05-16 163211.963929+00
rec-697927-dup-1,Sunva,1,10,2011-05-16 163211.963929+00
id-2316402,Oracle,1,229,2018-11-25 200101.505009+00
id-165398,Doris Allen,1,74,2011-05-16 163211.963929+00
id-521914,Pambo,1,56,2011-05-16 163211.963929+00
id-521917,Isslers Popular Orchestra,1,4,2011-05-16 163211.963929+00
id-705197,Gonzar,1,26,2011-05-16 163211.963929+00
