label,gid,name,label_type,area,ended
167645,75d24ec587234768ad29dd8aaf027a0b,Dawson Records,,,f
231076,c5f879c8ca5b4835b6b80eed161d3229,Uncle Buddies Music Inc,Publisher,,f
41346,d3f305fc1da746ef9d944ee19b69408e,Beat Club Records,Original Production,22698,f
93899,dec5d27ec6c44b76bd0944a96c4b0668,Zeida,,80667,f
72027,38250027367241c6bf82f21ffc3b12c5,Tete San Ko Publishing Inc,Publisher,222,f
43340,e909c47f09b246048bf0432d9cbf14f3,ERR,,221,f
163645,828f7c7bd3774c419186bb6013124c91,First Celtic Masters,,,f
2822,1455303de96e41e28306cbe5a5a41550,Cowboy Music Ltd,Original Production,221,f
152878,2b0179ede4b940d69b7ede2b494bf3ac,BP Oil Deutschland GmbH,,81,f
29681,d0500af534834862b05572f088e676b4,Grind It Records,Original Production,38,f
131412,c8bf5a2cb45446b3802130b4f9403ae9,Crush Records,,,f
