artist_credit,name,artist_count,ref_count,created,gid
id-503035,Zvonko Bogdan,1,358,20110516 16321196392900,01a7c1f16d9f323c8bcb0cce16b7dc93
id-307888,Winterun,1,64,20110516 16321196392900,669cc0caad04333c890bd808191ebce4
id-682511,Robert Etoll,1,3460,20110516 16321196392900,d1c3177ba36e3caab5861923b14f8c3f
id-429254,Illegal Illusion,1,28,20110516 16321196392900,52e1d914d29439e4aaca4c18118ff26f
id-282735,English as a Foreign Language,1,4,20110516 16321196392900,8d47e54d0299339fa2647a117447b754
id-186026,Casanova,1,262,20110516 16321196392900,1323c04c003d35eaa3f2cd2ab08f62ff
id-1052522,SpaceGhostPurrp,1,2051,20120918 14044006841100,a035d25109dd329b84519d510b69d8dc
id-849227,Sallie Ford  The Sound Outside,1,129,20110816 14244742251700,9a4aefad38dc3d8ba3d41491dfe5cfb7
id-752066,Zellberger Spitzbuam,1,30,20110516 16321196392900,b5491b987a6f33f2a84631f4a6e3c976
id-883818,Marylin Michaels,1,4,20111115 13261708770100,689dbd1218823f819094fe90102eba8e
id-242693,Sway,1,393,20110516 16321196392900,e0abba41b9543659ac9560503ee78998
id-815863,Monica Zetterlund Nisse Sandström Horace Parlan Red Mitchell,4,32,20110516 16321196392900,e436beb4d7f63d288e33bde3d923bcd4
id-9606,Beastie Boys,1,8848,20110516 16321196392900,e9881a31faba3b57aba0494fc56671ca
id-667101,Björgvin Halldórsson,1,196,20110516 16321196392900,3d22321eb63233c3acafca664f798aa7
id-11551,Mr Big,1,3589,20110516 16321196392900,d7ad1ba453883fa7bdde7957d67f02fb
id-9579,Los Lobos,1,2997,20110516 16321196392900,0bc8854a5d3c3219ad49aa1d3de5e213
id-134453,Hanns Eisler,1,1566,20110516 16321196392900,452d7bbd7a99329ab948cf3f81083a71
id-197865,Day of Fire,1,123,20110516 16321196392900,d2b72bbed5193eb2a1829803ad78e307
id-1017379,Eddie Gomez  Cesarius Alvim,2,24,20120715 1108237598500,a62a099297b2320f97c6a6a8e8d1ef33
id-660076,Daniel C Holter,1,2315,20110516 16321196392900,d9299dc2a21a3bbb85c28509281dbffd
id-33140,Stan Freberg,1,848,20110516 16321196392900,04bf9f6ea1203bc9a0b041188b8e177e
id-7966,Susumu Yokota,1,1005,20110516 16321196392900,51b13ecc75d3379185bc75fa578c674a
id-307350,Black Fras,1,49,20110516 16321196392900,abfafb75739437e1a1ad97b99f0e189b
id-956728,Central Park feat Maylee Todd,2,3,20120315 17204779712400,14353259bd663d97bf7c00abd7b7f69a
id-9916,Jam  Spoon,1,1613,20110516 16321196392900,fb7ef1b364c333c7a98683b30a7ea87f
id-9766,Badly Drawn Boy,1,1913,20110516 16321196392900,cb8bf9c5fff4311099029bff76e96776
id-136082,Édouard Lalo,1,1220,20110516 16321196392900,e014768ab2463fc38cc9dc4198444949
id-817882,Bachelors of Science  Stunna,2,2,20110516 16321196392900,1bf0aab7685432cebdf254455f5d8ff1
id-51230,The Three Degrees,1,2983,20110516 16321196392900,e777786332113ce29a269ee1936b00e4
id-98617,Abbe Lane,1,83,20110516 16321196392900,24b7768b373f33de93586a0b0c085927
id-474596,Levina Lewis,1,2,20110516 16321196392900,cfc8aa4ac0e73271b5b70c588ca2144c
id-3005979,Harper Lee gelesen von Eva Mattes,2,336,20210519 09013828032600,3dde4adc7f683efb99ae93a0517d398c
id-711675,Robin Key,1,34,20110516 16321196392900,18aa9e0d142b374e917075c88add1e6c
id-14616,鷺巣詩郎,1,8142,20110516 16321196392900,afd4014ec9573f95ab4e1a6acb4762bf
id-152692,Helheim,1,462,20110516 16321196392900,9dded5be1ebd319b9b37042c7cfc12cc
id-24387,SONICFLOOd,1,414,20110516 16321196392900,a3c088883b9239b9860e191489511860
id-1992144,4lung,1,964,20170429 13505011955600,c6331e81f3b530dfa2b7bb3e7f962d72
id-34586,Thunder,1,3376,20110516 16321196392900,360d5bb2a1e738d88b4edb947007258d
id-1482641,Cirius,1,44,20150527 13485130888800,f70194ade9dd31f69be0b60e7423340d
id-408178,Japunga,1,56,20110516 16321196392900,d29bf59d87553570ba1cb2f97e3c2e55
id-442273,Circular,1,162,20110516 16321196392900,6ed98dabb7df343fb6b9b06c00de78e3
id-2997,Ennio Morricone,1,42812,20110516 16321196392900,ea7f27afbbc737188eb9087be4c4d557
id-126224,Boris Mourashkin,1,62,20110516 16321196392900,2e6b9f3c4bd9355094c7e8023c719b89
id-803646,John OCallaghan,1,732,20110516 16321196392900,40dbe7bdc6c236fab4db131df91d64b3
id-30502,Cerrone,1,1880,20110516 16321196392900,307c65666fb03108b3091fa0ba50f232
id-1739989,Russ Still and The Moonshiners,1,95,20161026 1604518210300,536d7e9e7f07317e9c722c58f907c6a7
id-518958,Black Flight,1,2,20110516 16321196392900,9818cf61e508395891847a6e5b994418
id-47584,John Doyle,1,138,20110516 16321196392900,65c659b858333013a4a3f1cc358d20a9
id-154545,Jamie Knight,1,99,20110516 16321196392900,97b94209656c386b96d3a8da4d478f50
id-3221725,Empyreal,1,48,20220208 08330412299600,0544e87f571d3a1898817ee83e7d292f
id-87711,Eternal Sadness,1,74,20110516 16321196392900,781643dcd1193e1994309cbce8f3012a
id-714116,Steve Manning,1,30,20110516 16321196392900,6f370d13327135f8b8dd80692347d514
